"Position","Track.Name","Artist","Streams","songId","Month","Region"
11,"Ya Bu İşler Ne","Mabel Matiz",0,"2qM7yVNhMjZGVvXhPQ5TFS","2017-04-01","tr"
11,"New Rules","Dua Lipa",0,"2ekn2ttSfGqwhhate0LSR0","2017-04-01","tr"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-04-01","tr"
11,"Dönersen Islık Çal","Manuş Baba",0,"4JWAN1SBE6r2PHbXTHzQNx","2017-04-01","tr"
11,"Dusk Till Dawn - Radio Edit","ZAYN",0,"1j4kHkkpqZRBwE0A4CN4Yv","2017-04-01","tr"
11,"Eteği Belinde","Manuş Baba",0,"3lPrs1fylHXjPPfSioDXDg","2017-04-01","tr"
11,"Geceler","Ezhel",0,"4aDCblDfszqyxKUVLY6EEl","2017-04-01","tr"
11,"rockstar","Post Malone",0,"1OmcAT5Y8eg5bUPv9qJT4R","2017-04-01","tr"
11,"Şehrimin Tadı","Ezhel",0,"5xL1RFOuD9XsVqa7UVxdnw","2017-04-01","tr"
11,"Havana","Camila Cabello",0,"0ofbQMrRDsUaVKq2mGLEAb","2017-04-01","tr"
11,"İmkansızım","Ezhel",0,"5Y3ZTBwRNrgj3AlXYASvDe","2017-04-01","tr"
11,"Geceler","Ezhel",0,"0R0o8uOkDz40XsR6uwThfQ","2017-04-01","tr"
11,"Muhbir","Sıla",0,"7gPMdD5iUC8i3LsFxr01jw","2017-04-01","tr"
11,"Şehrimin Tadı","Ezhel",0,"5JaXKUIcNxwSuUyD4CsphL","2017-04-01","tr"
11,"İki Aşık","Ersay Üner",0,"5uyGQAXeaYJ7X7FcN8JJiq","2017-04-01","tr"
11,"Gömün Beni Çukura","Eypio",0,"5dLtu0lS5pP9ivMerk3uMA","2017-04-01","tr"
1,"Shape of You","Ed Sheeran",1752740,"7qiZfU4dY1lWllzX7mPBI3","2017-05-01","tr"
2,"Mi Gna (feat. Spitakci Hyko)","Super Sako",1181671,"7tidkZuZ0kgBrnGMwVKH6d","2017-05-01","tr"
3,"Despacito - Remix","Luis Fonsi",1217189,"5CtI0qwDJkDQGwXD1H1cLb","2017-05-01","tr"
4,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",978525,"6kex4EBAj0WHXDKZMEJaaF","2017-05-01","tr"
5,"Mask Off","Future",900119,"3rOSwuTsUlJp0Pu0MkN8r8","2017-05-01","tr"
6,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",757520,"5knuzwU65gJK7IF5yJsuaW","2017-05-01","tr"
7,"It Ain't Me (with Selena Gomez)","Kygo",888350,"3eR23VReFzcdmS7TYCrhCe","2017-05-01","tr"
8,"Believer","Imagine Dragons",791929,"6VRghJeP6I0w1KxkdWFfIh","2017-05-01","tr"
9,"Attention","Charlie Puth",341170,"4iLqG9SeJSnt0cSPICSjxv","2017-05-01","tr"
10,"You Don't Know Me - Radio Edit","Jax Jones",470926,"4WrS6vezaPwOafKJmHqMEU","2017-05-01","tr"
11,"Gece Gölgenin Rahatına Bak","Çağatay Akman",0,"3P31rcl0ym5paqRdwSiZps","2017-05-01","tr"
11,"Starboy","The Weeknd",0,"5aAx2yezTd8zXrkmtKl66Z","2017-05-01","tr"
11,"Affet","Müslüm Gürses",0,"0ikRchpmFlaqlzLRgu9qWk","2017-05-01","tr"
11,"Heyecanı Yok","Gazapizm",0,"4sa0pXDdQkBZ1r5NZWQJyV","2017-05-01","tr"
11,"Let Me Love You","DJ Snake",0,"4pdPtRcBmOSQDlJ3Fk945m","2017-05-01","tr"
11,"366.Gün","Sagopa Kajmer",0,"1EuFr1JA70TaEzlaSM4ulc","2017-05-01","tr"
11,"rockstar","Post Malone",0,"7wGoVu4Dady5GV0Sv4UIsx","2017-05-01","tr"
11,"İhanetten Geri Kalan","Sezen Aksu",0,"6n7CEaECHbDo4J00iVx0Gh","2017-05-01","tr"
11,"Deli","Norm Ender",0,"2BZn6a1rAFnKWmD4McsIAn","2017-05-01","tr"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-05-01","tr"
11,"Chained To The Rhythm","Katy Perry",0,"6520aj0B4FSKGVuKNsOCOi","2017-05-01","tr"
11,"Benim Stilim","Norm Ender",0,"19e9Qua87z2v8oIEA649dD","2017-05-01","tr"
11,"Believer","Imagine Dragons",0,"0CcQNd8CINkwQfe1RDtGV6","2017-05-01","tr"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-05-01","tr"
11,"Human","Rag'n'Bone Man",0,"58zsLZPvfflaiIbNWoA22O","2017-05-01","tr"
11,"You Don't Know Me - Radio Edit","Jax Jones",0,"00lNx0OcTJrS3MKHcB80HY","2017-05-01","tr"
11,"HUMBLE.","Kendrick Lamar",0,"7KXjTSCq5nL1LoYtL7XAwS","2017-05-01","tr"
11,"Thunder","Imagine Dragons",0,"0tKcYR2II1VCQWT79i5NrW","2017-05-01","tr"
11,"Ciao Adios","Anne-Marie",0,"3EfugazgSddQvzZpkof5I4","2017-05-01","tr"
